X,Y
-91528.0826563484,-869289.98612701
-91521.6045020693,-869303.069551782
-91515.1242290919,-869316.153149117
-91508.6419180377,-869329.236972275
-91502.1576284646,-869342.321092621
-91495.6714338449,-869355.405588168
-91489.1834041698,-869368.49051301
-91482.6287756884,-869381.706787822
-91476.1373005636,-869394.792812268
-91469.6442124388,-869407.879520434
-91463.2106135501,-869420.844145295
-91456.7712213028,-869433.818417172
-91450.261362079,-869446.932800528
-91443.7502859797,-869460.048100134
-91437.2380976329,-869473.164381459
-91430.7248845045,-869486.281709559
-91424.2107199384,-869499.400162597
-91417.6956871704,-869512.519779753
-91411.1798697634,-869525.640618013
-91404.6633075602,-869538.762742862
-91398.1460825772,-869551.886209945
-91391.6282523307,-869565.011065889
-91385.1098867135,-869578.13737105
-91378.656208173,-869591.133937199
-91372.1369200167,-869604.263361809
-91365.6172478395,-869617.394424243
-91359.0972516471,-869630.527168366
-91352.5769532435,-869643.66160295
-91346.056415875,-869656.797718896
-91339.5355673135,-869669.935443739
-91333.0142357434,-869683.074646727
-91326.628385531,-869695.941006922
-91320.1810901311,-869708.931000987
-91313.6701170562,-869722.048862942
-91307.1581799617,-869735.168055519
-91300.6452274137,-869748.288669374
-91294.1313258673,-869761.410768738
-91287.616577545,-869774.5344414
-91281.1662541456,-869787.528352543
-91274.6500114932,-869800.655098924
-91268.1330869224,-869813.783353041
-91261.6154897459,-869826.913067877
-91255.097208472,-869840.044190594
-91248.6434305213,-869853.045269816
-91242.1236489486,-869866.17898665
-91235.6030145967,-869879.313953156
-91229.1465967135,-869892.318835438
-91222.6239186195,-869905.456221102
-91216.1653056144,-869918.463345888
-91209.6401137694,-869931.603062997
-91203.113633955,-869944.744000233
-91196.5859377797,-869957.886212621
-91190.1224017302,-869970.898215863
-91183.5923832149,-869984.042903665
-91177.1264571265,-869997.057292451
-91170.594042886,-870010.204081287
-91164.1257166401,-870023.220130547
-91157.590467076,-870036.368244701
-91151.0534179278,-870049.516747453
-91144.5143537792,-870062.665516551
-91138.1038941593,-870075.55143696
-91131.560211735,-870088.700360324
-91125.0138963779,-870101.849206376
-91118.4648031226,-870114.997830226
-91111.9784209311,-870128.014680914
-91105.488816655,-870141.03105332
-91098.9306108365,-870154.178306197
-91092.3691420751,-870167.324799323
-91085.935394795,-870180.208618864
-91079.4264257487,-870193.234569468
-91072.9093998282,-870206.269252126
-91066.3876093036,-870219.305411212
-91059.796132993,-870232.472233536
-91053.2010004601,-870245.637791343
-91046.6680039638,-870258.670494538
-91040.1317310866,-870271.701734445
-91033.5255094597,-870284.863348054
-91026.9155205575,-870298.023571857
-91020.4340914632,-870310.919249475
-91013.8166694986,-870324.076675383
-91007.1955189666,-870337.232666202
-91000.570659655,-870350.387226686
-90994.0747426842,-870363.277311091
