X,Y
-123857.568154154,-922528.73696422
-123844.416775075,-922525.37052426
-123831.265439962,-922521.994774028
-123818.114112376,-922518.62614886
-123804.963684245,-922515.259394564
-123791.81263218,-922511.901040087
-123778.660327239,-922508.536141117
-123765.507713258,-922505.177295986
-123752.354066232,-922501.812505642
-123739.200836966,-922498.453411467
-123726.049549346,-922495.096376749
-123712.894319252,-922491.739598893
-123699.739739981,-922488.382562173
-123686.586069335,-922485.03284479
-123673.43215772,-922481.679015242
-123660.276381631,-922478.329085883
-123647.119937403,-922474.975270141
-123633.964554777,-922471.624528245
-123620.808799613,-922468.277469148
-123607.652322205,-922464.92380336
-123594.496047009,-922461.572408788
-123581.339103352,-922458.224993937
-123568.181623282,-922454.877474458
-123555.023366151,-922451.529895576
-123541.864203705,-922448.182480018
-123528.704344999,-922444.834942784
-123515.542431299,-922441.487327349
-123502.380012155,-922438.139619303
-123489.219171704,-922434.797045744
-123476.059729293,-922431.45424553
-123462.898123683,-922428.11135804
-123449.734385215,-922424.768874518
-123436.570884693,-922421.42541524
-123423.407255023,-922418.08768144
-123410.24374001,-922414.7452335
-123397.07999308,-922411.405655677
-123383.914320306,-922408.069702977
-123370.746601668,-922404.729520489
-123357.580321461,-922401.39800216
-123344.41178424,-922398.064031195
-123331.245036821,-922394.732754139
-123318.07623473,-922391.39805297
-123304.905344076,-922388.070591041
-123291.734398939,-922384.746403262
-123278.567194621,-922381.425774852
-123265.397013739,-922378.097976525
-123252.223251935,-922374.773231169
-123239.051086008,-922371.453041327
-123225.879083748,-922368.127438138
-123212.704144101,-922364.810258635
-123199.531033984,-922361.492858557
-123186.356257531,-922358.17521706
-123173.178474975,-922354.857799445
-123160.002749885,-922351.539937248
-123146.825542783,-922348.224076576
-123133.651640843,-922344.91503023
-123120.471187551,-922341.598912271
-123107.293905947,-922338.289925599
-123094.111973506,-922334.973383217
-123080.933425484,-922331.664543507
-123067.749477787,-922328.347992405
-123054.56993541,-922325.039178993
-123041.386142556,-922321.721630481
-123028.200947043,-922318.414155617
-123015.017266659,-922315.106329478
-123001.832260453,-922311.799096591
-122988.647274711,-922308.49082971
-122975.461030916,-922305.172107123
-122962.276285012,-922301.863732514
-122949.089931158,-922298.566098481
-122935.906388739,-922295.257772001
-122922.718937005,-922291.949225835
-122909.534526769,-922288.640092793
-122896.351700101,-922285.340826806
-122883.164778833,-922282.032416557
-122869.981361722,-922278.732965798
-122856.796158755,-922275.424291553
-122843.610549864,-922272.133845807
-122830.42376633,-922268.836131032
-122817.23692858,-922265.536960392
-122804.049698621,-922262.237996853
-122790.862860132,-922258.947684637
-122777.676174967,-922255.658818108
-122764.489627792,-922252.369770262
-122751.299334395,-922249.08103874
-122738.110280793,-922245.792276897
-122724.921099893,-922242.503140623
-122711.730464972,-922239.222246257
-122698.539529236,-922235.943762104
-122685.348705306,-922232.665090032
-122672.156396673,-922229.386715068
-122658.964057831,-922226.108014664
-122645.772944966,-922222.836460008
-122632.579229164,-922219.560856946
-122619.386228471,-922216.288940511
-122606.193938613,-922213.020531168
-122592.999854397,-922209.752058862
-122579.803971467,-922206.483522467
-122566.609609408,-922203.214610931
-122553.415474274,-922199.952131921
-122540.22051937,-922196.687532368
-122527.024893194,-922193.41841618
-122513.829807725,-922190.155127621
-122500.635430274,-922186.896198349
-122487.44116502,-922183.637081261
-122474.248390891,-922180.377794193
-122461.054777076,-922177.118433493
-122447.860066751,-922173.858856179
-122434.665456558,-922170.599091332
-122421.470157281,-922167.339244698
-122408.276845672,-922164.084242205
-122395.083943062,-922160.82981909
-122381.889601149,-922157.574150612
-122368.69686361,-922154.324124362
-122355.504460497,-922151.073875751
-122342.310358777,-922147.823832788
-122329.117119753,-922144.577850131
-122315.925378393,-922141.333708665
-122302.730840511,-922138.087042006
-122289.537431951,-922134.846906898
-122276.345911029,-922131.610188571
-122263.153222543,-922128.37714023
-122249.959471993,-922125.139969552
-122236.766790472,-922121.909892212
-122223.574219489,-922118.679626858
-122210.381603449,-922115.449302327
-122197.188773199,-922112.221881297
-122183.995954931,-922109.001975689
-122170.802441451,-922105.781989109
-122157.610205975,-922102.564122853
-122144.417853775,-922099.352238756
-122131.225381291,-922096.134082311
-122118.033339422,-922092.924054419
-122104.841407559,-922089.713838522
-122091.649815718,-922086.505171783
-122078.45922728,-922083.303710764
-122065.267086925,-922080.094813063
-122052.075812567,-922076.894663565
-122038.886898138,-922073.694028259
-122025.694165738,-922070.494800917
-122012.504199436,-922067.303903717
-121999.314113842,-922064.104043817
-121986.125990849,-922060.913456807
-121972.937756193,-922057.722713199
-121959.745250149,-922054.532737892
-121946.557163516,-922051.352243298
-121933.364216119,-922048.162092015
-121920.179578959,-922044.981000494
-121906.987241754,-922041.800777282
-121893.798061491,-922038.619963572
-121880.607506994,-922035.439158755
-121867.419334059,-922032.268616125
-121854.23041378,-922029.098115138
-121841.0430311,-922025.927217903
-121827.851483112,-922022.756697526
-121814.663788583,-922019.595316642
-121801.474737957,-922016.435307187
-121788.284637854,-922013.27495783
-121775.097302489,-922010.114031679
-121761.907629535,-922006.96251942
-121748.717731472,-922003.8032965
-121735.527185732,-922000.660581362
-121722.337208098,-921997.512213812
-121709.148610694,-921994.370153922
-121695.959110533,-921991.230155413
-121682.769431959,-921988.09002353
-121669.579383613,-921984.95003992
-121656.388433059,-921981.817979517
-121643.198468693,-921978.688205368
-121630.00787057,-921975.558341061
-121616.817950085,-921972.435959657
-121603.628244629,-921969.309124151
-121590.437719528,-921966.186310694
-121577.247891572,-921963.073826989
-121564.057672013,-921959.957540392
-121550.869050083,-921956.844270111
-121537.68019927,-921953.734887225
-121524.489045967,-921950.625536521
-121511.297025097,-921947.515987272
-121498.107850119,-921944.412381541
-121484.917011415,-921941.30681996
-121471.727726258,-921938.20903076
-121458.536628689,-921935.114442374
-121445.345255377,-921932.014782295
-121432.155924852,-921928.920481113
-121418.965043011,-921925.831256095
-121405.774826658,-921922.741955935
-121392.585403277,-921919.657758068
-121379.393184194,-921916.5790341
-121366.200102294,-921913.500248893
-121353.007354815,-921910.421245575
-121339.815767251,-921907.346752737
-121326.626166463,-921904.278032438
-121313.434089057,-921901.209266435
-121300.242394766,-921898.140275912
-121287.05103521,-921895.075334661
-121273.861378439,-921892.01671266
-121260.6711059,-921888.95809273
-121247.480229171,-921885.902996202
-121234.289333824,-921882.854720316
-121221.098020671,-921879.806325202
-121207.906565909,-921876.757888588
-121194.716622222,-921873.712511372
-121181.525504788,-921870.674415492
-121168.334250626,-921867.636163364
-121155.144973233,-921864.597477147
-121141.954832734,-921861.561558887
-121128.76479555,-921858.53374599
-121115.573607708,-921855.50563239
-121102.38498121,-921852.47700804
-121089.196419353,-921849.450383595
-121076.007744719,-921846.430288142
-121062.81944403,-921843.405207145
-121049.633551518,-921840.395452248
-121036.445255286,-921837.376756767
-121023.257487109,-921834.35931066
-121010.071915604,-921831.35079763
-120996.8837776,-921828.342732196
-120983.700170029,-921825.333572306
-120970.513940062,-921822.324582371
-120957.329253058,-921819.31600869
-120944.144560925,-921816.316679714
-120930.96120259,-921813.307651242
-120917.779775243,-921810.308179932
-120904.596919387,-921807.308722085
-120891.414180806,-921804.309074179
-120878.233121899,-921801.309033973
-120865.054573223,-921798.319653758
-120851.875124624,-921795.329899177
-120838.694419271,-921792.329608233
-120825.515115475,-921789.339026023
-120812.337475809,-921786.348510385
-120799.159501872,-921783.358206217
-120785.985010452,-921780.366951577
-120772.809505883,-921777.375633306
-120759.635391322,-921774.383964344
-120746.461527658,-921771.392080567
-120733.288483146,-921768.409643817
-120720.1149534,-921765.41899485
-120706.94526234,-921762.43518044
-120693.771279841,-921759.444466695
-120680.601397992,-921756.460055112
-120667.432276945,-921753.477645708
-120654.263755341,-921750.486190729
-120641.097824027,-921747.500320915
-120627.9290113,-921744.517060123
-120614.763938984,-921741.533126421
-120601.598969754,-921738.549283257
-120588.436252424,-921735.56479696
-120575.274540338,-921732.587655764
-120562.113012243,-921729.605812722
-120548.952739224,-921726.620391914
-120535.792668773,-921723.635013086
-120522.632885853,-921720.64929649
-120509.47239156,-921717.66338535
-120496.313443606,-921714.677089269
-120483.157755796,-921711.690200668
-120470.003868429,-921708.709757265
-120456.847995461,-921705.727038999
-120443.694243147,-921702.745730027
-120430.542346522,-921699.762282156
-120417.390848509,-921696.773978369
-120404.238828477,-921693.79169211
-120391.088002204,-921690.808175144
-120377.938147686,-921687.824785831
-120364.788375287,-921684.846407455
-120351.641850224,-921681.867431584
-120338.496103122,-921678.883111931
-120325.34955358,-921675.898240754
-120312.205601626,-921672.918407631
-120299.062758848,-921669.938252624
-120285.919834003,-921666.957938689
-120272.777670252,-921663.977502691
-120259.637369922,-921661.001121265
-120246.499046548,-921658.026262104
-120233.359029577,-921655.044877228
-120220.22084872,-921652.063072422
-120207.085036557,-921649.080921838
-120193.949142572,-921646.102427201
-120180.815754898,-921643.126755822
-120167.682603135,-921640.143608375
-120154.550519691,-921637.160148625
-120141.421037638,-921634.176279242
-120128.291713898,-921631.189358478
-120115.161973661,-921628.197106992
-120102.036501553,-921625.212096635
-120088.913110755,-921622.226636604
-120075.788540668,-921619.238783368
-120062.664186911,-921616.24486276
-120049.54121536,-921613.256651059
-120036.418098092,-921610.26166586
-120023.299108053,-921607.272869723
-120010.181326151,-921604.274856362
-119997.062375109,-921601.27869985
-119983.946797757,-921598.289357154
-119970.832472142,-921595.290321253
-119957.715822502,-921592.291415365
-119944.602507032,-921589.291937073
-119931.492852558,-921586.292108075
-119918.381034641,-921583.292054043
-119905.27098661,-921580.291598383
-119892.163879251,-921577.290588595
-119879.054051839,-921574.289773878
-119865.949869355,-921571.288154354
-119852.845030244,-921568.275606426
-119839.741657347,-921565.273372515
-119826.635444419,-921562.260616078
-119813.536924185,-921559.257275931
-119800.436709347,-921556.243987893
-119787.335396957,-921553.240401801
-119774.238818421,-921550.22622521
-119761.14115099,-921547.211423454
-119748.044940572,-921544.196260961
-119734.949867661,-921541.181104762
-119721.858537451,-921538.155314693
-119708.764754259,-921535.138025079
-119695.674990262,-921532.111928711
-119682.584451309,-921529.093597735
-119669.498050848,-921526.067520481
-119656.411002655,-921523.039180341
-119643.324061297,-921520.001742254
-119630.239634197,-921516.970524562
-119617.156081325,-921513.932584396
-119604.075749936,-921510.900498812
-119590.994568511,-921507.862261274
-119577.917726739,-921504.820663637
-119564.840215429,-921501.778982189
-119551.763283872,-921498.729173776
-119538.687660374,-921495.676320488
-119525.614910861,-921492.630369835
-119512.543467363,-921489.579747496
-119499.470057894,-921486.525832327
-119486.399017263,-921483.464254507
-119473.331314081,-921480.40569991
-119460.26402876,-921477.343700923
-119447.196568763,-921474.277488089
-119434.131155058,-921471.210838958
-119421.067074296,-921468.143843797
-119408.004733629,-921465.070314689
-119394.943889223,-921461.998087481
-119381.883391285,-921458.924034471
-119368.823987272,-921455.844908822
-119355.767104462,-921452.76528578
-119342.711600616,-921449.679846489
-119329.656326465,-921446.589011191
-119316.602115593,-921443.503059078
-119303.549572351,-921440.416947624
-119290.499689319,-921437.319630258
-119277.449844728,-921434.221506507
-119264.399729073,-921431.124349225
-119251.351247224,-921428.020587519
-119238.303287776,-921424.91658351
-119225.25803152,-921421.807663513
-119212.214229903,-921418.69634558
-119199.171944787,-921415.587204653
-119186.130140725,-921412.466895772
-119173.08818291,-921409.343428464
-119160.048797694,-921406.222744027
-119147.010501357,-921403.094733747
-119133.975364783,-921399.966278159
-119120.939123429,-921396.834255961
-119107.905080818,-921393.697373232
-119094.872932666,-921390.561741269
-119081.841101102,-921387.413215106
-119068.811679067,-921384.269614448
-119055.781725362,-921381.117528216
-119042.754804174,-921377.964888918
-119029.72687397,-921374.812203529
-119016.703959287,-921371.656592433
-119003.681277225,-921368.492353053
-118990.659942346,-921365.325564469
-118977.637267507,-921362.151600654
-118964.61942947,-921358.982675548
-118951.599891464,-921355.796895437
-118938.583798102,-921352.618794714
-118925.567264953,-921349.431959948
-118912.552264207,-921346.252261004
-118899.539301089,-921343.053508117
-118886.527794005,-921339.863550408
-118873.517541715,-921336.66352982
-118860.508118551,-921333.462373022
-118847.501977725,-921330.250293013
-118834.49448642,-921327.038219557
-118821.490222508,-921323.825425537
-118808.48725555,-921320.60200205
-118795.486544784,-921317.377702396
-118782.489089959,-921314.152814834
-118769.490260463,-921310.927935751
-118756.49625722,-921307.691885824
-118743.502013106,-921304.455591358
-118730.510077165,-921301.208400313
-118717.516958684,-921297.96042884
-118704.526694748,-921294.711920072
-118691.539674028,-921291.462825004
-118678.554141951,-921288.204147407
-118648.728706373,-921280.710929154
-118635.358723588,-921277.340507048
-118621.990680254,-921273.969718257
-118608.624467156,-921270.598766211
-118595.257914784,-921267.225112363
-118581.897752967,-921263.843979619
-118568.535935056,-921260.468983953
-118555.174297593,-921257.082535427
-118541.816683445,-921253.690219843
-118528.460748436,-921250.302212742
-118515.105491583,-921246.909322012
-118501.750906045,-921243.520411344
-118488.397523875,-921240.119941855
-118475.047332825,-921236.715513985
-118461.69661451,-921233.317965707
-118448.347514183,-921229.915722256
-118434.998983209,-921226.50636573
-118421.653628045,-921223.096584198
-118408.310208086,-921219.68643641
-118394.967264991,-921216.275833494
-118381.624418029,-921212.865032859
-118368.281805573,-921209.448609699
-118354.943106465,-921206.031559238
-118341.60762408,-921202.619462394
-118328.271041429,-921199.201175835
-118314.934820178,-921195.777474523
-118301.60131677,-921192.353250382
-118288.269776438,-921188.935349735
-118274.939214148,-921185.514994359
-118261.610106483,-921182.089669738
-118248.2796542,-921178.664337492
-118234.953466084,-921175.238285158
-118221.628728768,-921171.812129403
-118208.30266941,-921168.385829511
-118194.976554903,-921164.951395692
-118181.653993754,-921161.521024891
-118168.334075174,-921158.093284154
-118155.015465697,-921154.665491477
-118141.696613725,-921151.228766867
-118128.378798574,-921147.797821688
-118115.064027566,-921144.368709903
-118101.750218541,-921140.930163317
-118088.439953695,-921137.498610054
-118075.127004232,-921134.059279879
-118061.817830061,-921130.617575864
-118048.510669928,-921127.185322591
-118035.204006599,-921123.744047876
-118021.897975617,-921120.301609651
-118008.594876717,-921116.848001883
-117995.291867669,-921113.404094407
-117981.992100393,-921109.960102821
-117968.692820121,-921106.504966349
-117955.397632028,-921103.060202977
-117942.100369091,-921099.604627513
-117928.807746539,-921096.158466044
-117915.515555141,-921092.701479576
-117902.225115001,-921089.244136003
-117888.935616212,-921085.785671176
-117875.646286095,-921082.317950522
-117862.362426198,-921078.859202023
-117849.077789062,-921075.39867853
-117835.796136781,-921071.928193757
-117822.51448585,-921068.457781594
-117809.234801793,-921064.98662482
-117795.956317432,-921061.515143344
-117782.681762681,-921058.042975432
-117769.407249378,-921054.567924381
-117756.134405649,-921051.087309305
-117742.865417399,-921047.610723778
-117729.595194078,-921044.126143712
-117716.329630938,-921040.640783314
-117703.06508018,-921037.155253849
-117689.802640879,-921033.669409006
-117676.541398866,-921030.178862938
-117663.281999208,-921026.685153856
-117650.024314852,-921023.193426974
-117636.769761959,-921019.689943094
-117623.518129622,-921016.184334211
-117610.266923984,-921012.679531617
-117597.017495592,-921009.168204662
-117583.769157827,-921005.656574289
-117570.523864933,-921002.144572455
-117557.282053023,-920998.626158866
-117544.040719064,-920995.107905998
-117530.802238953,-920991.58199884
-117517.565403573,-920988.052032894
-117504.330134403,-920984.526746436
-117491.098576924,-920980.994026514
-117477.868748976,-920977.456291227
-117464.641307389,-920973.911005849
-117451.417202306,-920970.368304164
-117438.194026778,-920966.822011845
-117424.972388347,-920963.271504708
-117411.755036643,-920959.720157341
-117398.539417222,-920956.160389126
-117385.325189505,-920952.597125802
-117372.113496306,-920949.033665137
