Lat, Lon, Ice_surf, Ice_base, Distance, X_coord, Y_coord
81.538436,-50.503687,105.3429,-319.6671,1074.18568,-88066.3788,-913987.825
81.538442,-50.502842,105.1871,-319.6829,1087.74337,-88052.8366,-913988.473
81.538448,-50.501997,105.0323,-319.6877,1101.30106,-88039.2944,-913989.122
81.538453,-50.501152,104.8853,-319.6947,1114.85393,-88025.7627,-913989.878
81.538458,-50.500306,104.7295,-319.7005,1128.4228,-88012.215,-913990.636
81.538464,-50.499461,104.5712,-319.7088,1141.98047,-87998.6728,-913991.283
81.538469,-50.498616,104.4177,-319.7223,1155.53331,-87985.141,-913992.039
81.538474,-50.497771,104.5155,-319.7845,1169.08614,-87971.6093,-913992.794
81.53848,-50.496926,104.6096,-319.8604,1182.64378,-87958.0671,-913993.441
81.538485,-50.496081,104.7201,-319.9099,1196.1966,-87944.5353,-913994.196
81.53849,-50.495236,104.8242,-319.9758,1209.74941,-87931.0036,-913994.951
81.538495,-50.494391,104.9283,-320.0317,1223.30221,-87917.4718,-913995.706
81.5385,-50.493546,105.0377,-320.0923,1236.855,-87903.94,-913996.461
81.538505,-50.492702,105.1523,-320.1377,1250.39177,-87890.4242,-913997.213
81.53851,-50.491857,105.2607,-320.1993,1263.94455,-87876.8924,-913997.968
81.538515,-50.491012,105.3649,-320.2551,1277.49732,-87863.3606,-913998.722
81.53852,-50.490168,105.469,-320.321,1291.03406,-87849.8448,-913999.474
81.538525,-50.489323,105.5731,-322.2769,1304.58682,-87836.313,-914000.227
81.53853,-50.488479,105.6772,-324.2328,1318.12355,-87822.7972,-914000.979
81.538535,-50.487634,105.7814,-326.1886,1331.67629,-87809.2654,-914001.732
81.53854,-50.48679,105.8855,-328.1545,1345.213,-87795.7495,-914002.484
81.538545,-50.485945,105.9896,-330.1104,1358.76572,-87782.2177,-914003.236
81.53855,-50.485101,106.1031,-332.0569,1372.30242,-87768.7019,-914003.987
81.538555,-50.484256,106.2079,-334.0121,1385.85513,-87755.1701,-914004.74
81.53856,-50.483412,106.322,-335.958,1399.39181,-87741.6542,-914005.49
81.538565,-50.482568,106.4267,-336.9533,1412.92849,-87728.1383,-914006.241
81.538569,-50.481724,106.5413,-337.9387,1426.46121,-87714.6329,-914007.099
81.538574,-50.48088,106.6558,-338.9242,1439.99787,-87701.117,-914007.849
81.538579,-50.480036,106.7704,-339.9096,1453.53453,-87687.6011,-914008.599
81.538584,-50.479192,107.2249,-340.7551,1467.07117,-87674.0853,-914009.349
81.538589,-50.478348,107.6894,-341.5806,1480.60781,-87660.5694,-914010.098
81.538594,-50.477505,108.1571,-342.4129,1494.12842,-87647.0695,-914010.846
81.538598,-50.476661,108.622,-343.238,1507.6611,-87633.564,-914011.703
81.538603,-50.475817,109.0931,-344.0669,1521.19772,-87620.0481,-914012.452
81.538608,-50.474974,109.5576,-344.8924,1534.71831,-87606.5481,-914013.199
81.538613,-50.47413,110.0169,-345.7331,1548.25491,-87593.0323,-914013.947
81.538617,-50.473287,110.4918,-346.5482,1561.77154,-87579.5427,-914014.802
81.538622,-50.472444,110.9568,-347.7632,1575.29211,-87566.0427,-914015.549
81.538627,-50.4716,111.4317,-348.9683,1588.82869,-87552.5268,-914016.297
81.538632,-50.470757,111.9131,-350.1669,1602.34925,-87539.0269,-914017.043
81.538636,-50.469914,112.3817,-351.3783,1615.86585,-87525.5373,-914017.897
81.538641,-50.469071,112.8566,-352.5834,1629.38639,-87512.0373,-914018.643
81.538646,-50.468228,113.3392,-353.7808,1642.90692,-87498.5374,-914019.388
81.538651,-50.467385,113.8065,-354.9935,1656.42745,-87485.0374,-914020.133
81.538655,-50.466543,114.2899,-356.1901,1669.928,-87471.5638,-914020.985
81.53866,-50.4657,114.7664,-357.3936,1683.44851,-87458.0638,-914021.73
81.538665,-50.464857,115.2499,-358.5901,1696.96901,-87444.5638,-914022.475
81.53867,-50.464015,115.736,-363.904,1710.4735,-87431.0798,-914023.218
81.538674,-50.463172,116.2315,-369.2185,1723.99004,-87417.5902,-914024.071
81.538679,-50.46233,116.7173,-374.5327,1737.4945,-87404.1061,-914024.813
81.538684,-50.461488,117.213,-379.837,1750.99896,-87390.6221,-914025.555
81.538689,-50.460645,117.6988,-385.1612,1764.51943,-87377.1221,-914026.299
81.538693,-50.459803,118.5146,-395.1654,1778.01992,-87363.6484,-914027.15
