Lat, Lon, Ice_surf, Ice_base, Distance, X_coord, Y_coord
81.760254,-50.871803,39.2457,39.2457,0,-91465.9354,-889378.014
81.760209,-50.870931,37.5583,13.5183,14.4621504,-91452.9009,-889384.279
81.760162,-50.870034,37.7311,-18.3889,29.3653562,-91439.5003,-889390.801
81.760116,-50.869162,37.9028,-50.2972,43.8648906,-91426.4765,-889397.174
81.760071,-50.86829,38.0739,-82.2161,58.3272564,-91413.4414,-889403.439
81.760024,-50.867405,38.2447,-114.1253,73.0549479,-91400.2266,-889409.94
81.759978,-50.866521,38.4148,-146.0352,87.7305758,-91387.016,-889416.332
81.759932,-50.865649,38.584,-157.396,102.230397,-91373.9915,-889422.705
81.759886,-50.864765,38.7527,-161.8973,116.90617,-91360.7805,-889429.096
81.75984,-50.86388,38.9206,-166.3994,131.596685,-91347.5539,-889435.489
81.759794,-50.863008,39.0774,-170.9026,146.096721,-91334.5289,-889441.86
81.759748,-50.862137,39.2435,-175.3965,160.582184,-91321.5192,-889448.23
81.759701,-50.86124,39.4093,-179.9007,175.486129,-91308.1169,-889454.75
81.759655,-50.860368,39.5739,-184.4061,189.986381,-91295.0913,-889461.121
81.759609,-50.859497,39.7378,-188.9022,204.472061,-91282.0812,-889467.491
81.759563,-50.858612,39.9012,-199.4788,219.163015,-91268.8535,-889473.882
81.759516,-50.857728,40.0638,-198.8762,233.876876,-91255.6522,-889480.38
81.75947,-50.856857,40.2256,-197.5744,248.362771,-91242.6415,-889486.749
81.759424,-50.855973,40.3872,-200.6628,263.039275,-91229.4288,-889493.139
81.759377,-50.855088,40.5481,-196.8919,277.767988,-91216.2115,-889499.638
81.759331,-50.854217,40.7084,-195.7616,292.2541,-91203.2003,-889506.006
81.759285,-50.853333,40.8685,-197.4415,306.930823,-91189.9871,-889512.395
81.759238,-50.852449,41.0282,-197.8918,321.645122,-91176.7848,-889518.892
81.759192,-50.851578,41.1876,-197.8224,336.13145,-91163.773,-889525.26
81.759146,-50.850707,41.3466,-197.7434,350.61785,-91150.7611,-889531.627
81.759099,-50.849823,41.5057,-197.6743,365.332368,-91137.5582,-889538.123
81.759052,-50.84894,41.6646,-198.1254,380.032329,-91124.3708,-889544.618
81.759006,-50.848069,41.8034,-199.2966,394.518946,-91111.3583,-889550.985
81.758959,-50.847185,41.9622,-197.9878,409.233685,-91098.1549,-889557.481
81.758912,-50.846302,42.121,-197.919,423.933867,-91084.9669,-889563.975
81.758866,-50.845431,42.2797,-199.6003,438.420701,-91071.954,-889570.341
81.758819,-50.844548,42.4385,-200.0615,453.121029,-91058.7656,-889576.835
81.758773,-50.843677,42.5973,-199.9827,467.608009,-91045.7523,-889583.201
81.758726,-50.842794,42.7563,-199.9137,482.308483,-91032.5635,-889589.694
81.758679,-50.841924,42.9152,-200.3648,496.818994,-91019.5765,-889596.166
81.758632,-50.841041,43.0742,-202.0458,511.519616,-91006.3874,-889602.659
81.758585,-50.840171,43.2331,-201.9769,526.030273,-90993.4,-889609.131
81.758538,-50.839289,43.392,-200.668,540.716413,-90980.2261,-889615.622
81.758491,-50.838406,43.5509,-201.8291,555.417257,-90967.0365,-889622.114
81.758444,-50.837537,43.7095,-202.2805,569.913528,-90954.064,-889628.584
81.758396,-50.836655,43.8681,-202.2119,584.638173,-90940.9007,-889635.182
81.758349,-50.835773,44.0164,-202.1436,599.32461,-90927.7261,-889641.672
81.758302,-50.834904,44.1645,-202.0755,613.8211,-90914.7531,-889648.142
81.758255,-50.834035,44.3222,-201.9978,628.317664,-90901.78,-889654.611
81.758207,-50.833153,44.4798,-202.4502,643.042605,-90888.6159,-889661.208
81.758159,-50.832272,44.6372,-204.1428,657.753031,-90875.4671,-889667.804
81.758112,-50.831403,44.7941,-204.5959,672.249816,-90862.4935,-889674.273
81.758065,-50.830535,44.9506,-204.5194,686.73207,-90849.5352,-889680.74
81.758016,-50.829642,45.1071,-204.4529,701.656521,-90836.2106,-889687.462
81.757969,-50.828774,45.263,-203.857,716.138923,-90823.252,-889693.929
81.757921,-50.827906,45.4187,-202.0213,730.66022,-90810.3042,-889700.503
81.757873,-50.827026,45.5741,-201.9459,745.356504,-90797.1699,-889707.096
81.757824,-50.826146,45.7294,-203.6406,760.091925,-90784.0465,-889713.798
81.757777,-50.825278,45.8844,-204.0956,774.574624,-90771.0871,-889720.263
81.757729,-50.824411,46.0391,-204.0209,789.081654,-90758.1541,-889726.835
81.757679,-50.823519,46.1939,-205.0161,804.031357,-90744.8549,-889733.663
81.757631,-50.822653,46.3484,-208.4716,818.523977,-90731.9371,-889740.233
81.757583,-50.821786,46.5028,-209.4572,833.031231,-90719.0036,-889746.805
81.757535,-50.82092,46.6472,-209.3928,847.523999,-90706.0854,-889753.375
81.757486,-50.820028,46.8017,-209.3183,862.434714,-90692.7744,-889760.094
81.757437,-50.819162,46.9561,-209.2439,876.96724,-90679.8669,-889766.771
81.757389,-50.818297,47.1105,-211.8195,891.445673,-90666.9637,-889773.339
81.757341,-50.817431,47.2649,-221.6251,905.938739,-90654.0449,-889779.908
81.757291,-50.81654,47.4194,-227.7206,920.874518,-90640.7596,-889786.733
81.757242,-50.815675,47.5739,-228.7061,935.392823,-90627.867,-889793.408
81.757193,-50.81481,47.7283,-228.6317,949.911204,-90614.9741,-889800.084
81.757144,-50.813933,47.8827,-228.5673,964.604042,-90601.8947,-889806.777
81.757094,-50.813055,48.0371,-228.4929,979.351338,-90588.8106,-889813.581
81.757045,-50.812191,48.0413,-228.4987,993.855428,-90575.9328,-889820.254
81.756997,-50.811327,48.0054,-228.5046,1008.31991,-90563.0437,-889826.819
81.756947,-50.81045,47.9594,-228.5206,1023.05292,-90549.9746,-889833.62
81.756897,-50.809573,47.9331,-228.5369,1037.78602,-90536.9053,-889840.421
81.756848,-50.808709,47.8965,-228.5435,1052.29041,-90524.0267,-889847.094
81.756799,-50.807846,47.8495,-228.5705,1066.78036,-90511.1634,-889853.764
81.756749,-50.80697,47.8122,-229.1078,1081.49918,-90498.1091,-889860.563
81.756698,-50.806094,47.7645,-230.8955,1096.25868,-90485.0656,-889867.471
81.756649,-50.805231,47.7362,-231.4338,1110.74886,-90472.2018,-889874.141
81.7566,-50.804368,47.6975,-231.4525,1125.23912,-90459.3379,-889880.81
81.756549,-50.803492,47.6484,-231.4716,1139.99885,-90446.2938,-889887.717
81.756499,-50.802617,47.6087,-231.4813,1154.70356,-90433.2541,-889894.514
81.756449,-50.801755,47.5585,-231.5115,1169.22,-90420.4161,-889901.29
81.756399,-50.800892,47.5178,-231.5222,1183.75099,-90407.5624,-889908.067
81.756349,-50.800017,47.4666,-231.5534,1198.45592,-90394.5221,-889914.863
81.756299,-50.799156,47.4349,-231.5651,1212.95812,-90381.6991,-889921.637
81.756248,-50.798281,47.3926,-231.0474,1227.70386,-90368.6695,-889928.541
81.756198,-50.797419,47.3399,-229.8501,1242.22068,-90355.8306,-889935.316
81.756147,-50.796545,47.2966,-231.6334,1256.95211,-90342.8161,-889942.218
81.756097,-50.795684,47.2429,-232.8871,1271.45461,-90329.9923,-889948.991
81.756046,-50.79481,47.2086,-230.4414,1286.1862,-90316.9775,-889955.892
81.755996,-50.793949,47.1639,-231.1661,1300.68886,-90304.1534,-889962.665
81.755945,-50.793075,47.1086,-231.7214,1315.4206,-90291.1381,-889969.566
81.755895,-50.792214,47.0629,-231.2171,1329.92341,-90278.3136,-889976.339
81.755844,-50.791354,47.0068,-229.4832,1344.45308,-90265.5155,-889983.218
81.755793,-50.790481,46.9701,-228.9699,1359.17059,-90252.5152,-889990.117
81.755742,-50.789607,46.9229,-228.9971,1373.90265,-90239.4992,-889997.017
81.755691,-50.788747,46.8653,-229.0247,1388.43255,-90226.7005,-890003.896
81.755641,-50.787887,46.8172,-229.0528,1402.92128,-90213.8906,-890010.665
81.755589,-50.787014,46.7584,-229.6116,1417.68052,-90200.9006,-890017.672
81.755538,-50.786142,46.7091,-231.4009,1432.38397,-90187.9149,-890024.569
81.755487,-50.785282,46.6593,-231.9607,1446.91418,-90175.1155,-890031.446
81.755436,-50.784423,46.6088,-231.9912,1461.43004,-90162.3313,-890038.322
81.755385,-50.783563,46.5578,-231.4822,1475.9604,-90149.5315,-890045.199
81.755333,-50.782678,46.4956,-229.7544,1490.89324,-90136.3541,-890052.224
81.755282,-50.781819,46.4432,-229.2568,1505.40934,-90123.5694,-890059.099
81.755231,-50.78096,46.38,-229.29,1519.9255,-90110.7846,-890065.974
81.755179,-50.780101,46.3362,-228.7838,1534.48374,-90098.0105,-890072.957
81.755127,-50.779217,46.2812,-227.5888,1549.40246,-90084.8478,-890079.98
81.755076,-50.778358,46.216,-228.334,1563.91886,-90072.0624,-890086.854
81.755024,-50.7775,46.1601,-227.1299,1578.46294,-90059.3033,-890093.835
81.754973,-50.776641,46.0936,-227.7064,1592.9795,-90046.5175,-890100.709
81.754921,-50.775783,46.0465,-230.7235,1607.52374,-90033.758,-890107.69
81.754868,-50.7749,45.9883,-228.4617,1622.4701,-90020.6209,-890114.818
81.754817,-50.774042,45.9201,-220.0499,1636.97247,-90007.8501,-890121.69
81.754765,-50.773184,45.8615,-208.0985,1651.51694,-89995.09,-890128.67
81.754714,-50.772327,45.7925,-200.2175,1666.00504,-89982.3344,-890135.541
81.754661,-50.771457,45.7328,-198.6672,1680.76468,-89969.3984,-890142.647
81.754609,-50.770587,45.6727,-199.2373,1695.48217,-89956.4514,-890149.646
81.754557,-50.76973,45.6128,-201.0372,1710.01257,-89943.7061,-890156.624
81.754505,-50.768873,45.5526,-201.0674,1724.54306,-89930.9606,-890163.601
81.754453,-50.768016,45.4823,-199.3577,1739.07362,-89918.215,-890170.579
81.7544,-50.767147,45.4215,-198.8585,1753.81927,-89905.2936,-890177.683
81.754347,-50.766278,45.3507,-198.9093,1768.56501,-89892.3721,-890184.788
81.754295,-50.765422,45.3,-198.94,1783.08143,-89879.6414,-890191.763
81.754242,-50.764567,45.2393,-198.9707,1797.62639,-89866.937,-890198.845
81.754189,-50.763699,45.1681,-199.5419,1812.358,-89854.0304,-890205.947
81.754137,-50.762843,45.1071,-201.3429,1826.87465,-89841.2991,-890212.922
81.754083,-50.761976,45.0357,-201.9243,1841.63508,-89828.4186,-890220.13
81.75403,-50.761121,44.9843,-201.4257,1856.18036,-89815.7134,-890227.212
81.753978,-50.760266,44.9227,-200.2273,1870.68287,-89802.9971,-890234.184
81.753924,-50.7594,44.8505,-201.5095,1885.42921,-89790.1316,-890241.391
81.753871,-50.758546,44.7882,-202.0818,1899.96039,-89777.4414,-890248.47
81.753818,-50.757692,44.7156,-201.5944,1914.49165,-89764.7509,-890255.549
81.753764,-50.756826,44.6621,-199.8679,1929.23824,-89751.8848,-890262.755
81.753711,-50.755972,44.5984,-199.3816,1943.76966,-89739.194,-890269.833
81.753656,-50.755107,44.5239,-199.4261,1958.54586,-89726.3539,-890277.145
81.753603,-50.754254,44.4591,-199.4709,1973.06311,-89713.6783,-890284.222
81.753549,-50.753402,44.3838,-199.5162,1987.60977,-89701.0289,-890291.405
81.753495,-50.752537,44.3174,-199.0226,2002.34244,-89688.1773,-890298.609
81.753441,-50.751685,44.2508,-197.3192,2016.88925,-89675.5276,-890305.791
81.753386,-50.750821,44.1833,-197.8867,2031.65159,-89662.702,-890313.101
81.753333,-50.74997,44.1155,-200.9245,2046.14058,-89650.0565,-890320.174
81.753278,-50.749119,44.0372,-199.7428,2060.71773,-89637.4326,-890327.463
81.753224,-50.748268,43.9685,-198.0315,2075.25059,-89624.7976,-890334.643
81.753169,-50.747405,43.8888,-198.7812,2089.99897,-89611.9868,-890341.951
81.753114,-50.746542,43.8288,-197.5912,2104.74744,-89599.1759,-890349.258
81.75306,-50.745692,43.759,-197.111,2119.26626,-89586.5558,-890356.437
81.753005,-50.744842,43.6789,-197.1611,2133.82957,-89573.9465,-890363.723
81.75295,-50.743993,43.6087,-197.2113,2148.37874,-89561.3524,-890371.008
81.752896,-50.743143,43.5284,-196.7316,2162.89779,-89548.7318,-890378.186
81.752839,-50.742269,43.4672,-195.5428,2177.89264,-89535.7707,-890385.726
81.752784,-50.741421,43.397,-196.823,2192.42781,-89523.1916,-890393.009
81.752729,-50.740572,43.3169,-196.3431,2206.9773,-89510.5968,-890400.293
