Lat, Lon, Ice_surf, Ice_base, Distance, X_coord, Y_coord
81.779355,-50.608004,40.516,-153.194,7164.25171,-87166.934,-887720.224
81.779222,-50.607906,40.47,-153.4,7178.81081,-87166.8305,-887734.782
81.779089,-50.607811,40.4237,-153.7563,7193.36509,-87166.7734,-887749.336
81.778955,-50.607716,40.372,-153.968,7208.02769,-87166.727,-887763.999
81.778821,-50.607622,40.3276,-154.1224,7222.68873,-87166.696,-887778.66
81.778687,-50.60753,40.2706,-154.2894,7237.34669,-87166.6959,-887793.318
81.778554,-50.607439,40.2339,-154.3961,7251.8948,-87166.7006,-887807.866
81.77842,-50.607349,40.1822,-154.3478,7266.54977,-87166.7314,-887822.521
81.778286,-50.607261,40.1384,-154.4016,7281.20179,-87166.7932,-887837.173
81.778153,-50.607174,40.0954,-154.4146,7295.74398,-87166.8598,-887851.715
81.77802,-50.607089,40.0306,-154.7394,7310.2833,-87166.9573,-887866.254
81.777886,-50.607005,39.9816,-155.0184,7324.92965,-87167.0809,-887880.9
81.777754,-50.606923,39.9367,-155.3833,7339.35636,-87167.2142,-887895.326
81.777621,-50.606842,39.8878,-155.6022,7353.89016,-87167.3736,-887909.859
81.777486,-50.606761,39.845,-155.765,7368.64089,-87167.5542,-887924.608
81.777353,-50.606682,39.8044,-155.8756,7383.17202,-87167.7445,-887939.138
81.777218,-50.606604,39.7506,-155.7894,7397.91883,-87167.9715,-887953.883
81.777083,-50.606527,39.6967,-155.5433,7412.66437,-87168.214,-887968.627
81.776951,-50.606453,39.6483,-155.0417,7427.08062,-87168.4711,-887983.041
81.776816,-50.606379,39.605,-155.045,7441.82244,-87168.76,-887997.78
81.776682,-50.606306,39.5551,-155.1549,7456.45452,-87169.0537,-888012.409
81.776547,-50.606235,39.5037,-155.1263,7471.19277,-87169.389,-888027.143
81.776412,-50.606164,39.4537,-155.2363,7485.93102,-87169.7243,-888041.878
81.77628,-50.606097,39.4107,-155.3993,7500.33898,-87170.0897,-888056.281
81.776144,-50.606029,39.3644,-155.5656,7515.1824,-87170.482,-888071.119
81.776011,-50.605963,39.313,-155.727,7529.69784,-87170.8735,-888085.63
81.775875,-50.605898,39.2616,-155.8884,7544.538,-87171.3123,-888100.463
81.775743,-50.605835,39.2182,-156.0418,7558.94159,-87171.7395,-888114.86
81.775607,-50.605772,39.2029,-156.1871,7573.77967,-87172.2092,-888129.691
81.775473,-50.605711,39.3034,-156.2766,7588.39845,-87172.6886,-888144.302
81.775339,-50.605651,39.3977,-156.3723,7603.01622,-87173.1835,-888158.911
81.775205,-50.605593,39.4954,-156.4046,7617.63204,-87173.7094,-888173.518
81.77507,-50.605535,39.5849,-156.0851,7632.35653,-87174.2459,-888188.232
81.774938,-50.60548,39.6858,-155.2842,7646.75219,-87174.7969,-888202.618
81.774806,-50.605426,39.7786,-155.1014,7661.14694,-87175.3634,-888217.001
81.77467,-50.605372,39.8814,-154.9086,7675.97643,-87175.9725,-888231.818
81.774538,-50.60532,39.9731,-154.7369,7690.3694,-87176.5699,-888246.199
81.774402,-50.605268,40.0752,-154.7548,7705.19716,-87177.2099,-888261.013
81.77427,-50.605218,40.1563,-154.8337,7719.58841,-87177.8384,-888275.39
81.774135,-50.605169,40.26,-154.9,7734.30498,-87178.5142,-888290.091
81.774,-50.60512,40.3567,-154.8033,7749.02155,-87179.1899,-888304.792
81.773867,-50.605073,40.4524,-154.1476,7763.51908,-87179.8754,-888319.274
81.773731,-50.605027,40.5494,-153.6306,7778.34204,-87180.6083,-888334.078
